mission_created_year,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
2018,465757,433305,371883,5965,15055,16633,612.4227684377502,573.0,210.70556973447304,521.8676885841065,502.0,141.25108535913057,613.9785373608903,590.0,165.13813234555516,725.196400719856,691.0,206.84410782095625,856.573218932746,777.585,776.2235617494329,835.669550947337,757.0,333.8247881619918
2019,474738,433505,379973,5649,15861,17900,600.4469048003879,565.0,200.42005986325512,513.7820883202642,496.0,138.71705682627527,619.3038580400757,593.0,172.65568229913225,766.0917363502214,735.0,205.4683445941604,837.2486867356532,790.803,238.53039364532992,841.1376748251748,751.0,355.61763198937194
2020,468694,418411,347570,7716,15878,15705,614.9499309615062,579.0,203.2901954947617,520.9998401023345,505.0,141.3283404843448,608.9598839535814,583.0,171.74240891188137,730.884133611691,702.0,191.7780996118114,807.0125583445085,762.454,380.2751364485176,858.5194451325242,772.0,353.59937735702107
2021,492244,440599,372496,9362,16405,18371,629.1191797964568,593.0,207.82975811570503,510.6126558005753,494.0,133.63929708263308,618.2153846153847,594.0,162.9281761101333,729.0304238355014,702.0,184.61179190599583,818.7408464658148,782.383,217.6091360091877,888.8106302643043,809.0,357.14146497661767
2022,528955,473913,431402,6044,18714,21383,661.9838502097668,621.0,231.95717330733416,519.5232184891933,504.0,144.49078907428787,615.9880867709815,591.0,173.6479849892242,745.6563250408223,722.0,185.04518604150968,829.7251436870623,791.25,203.13439858694247,905.4167611221308,817.0,376.8194117733568
2023,514857,462954,434201,5047,18827,19113,648.2850674997613,611.0,221.6851215380937,509.9892966360856,497.0,134.46366260600686,610.6869482430327,586.0,173.37055344108174,745.8406786086626,723.0,187.5860076181025,820.0790449096115,781.843,250.2828601015123,909.5366218236172,815.0,381.0840208512416
2024,534471,481464,459477,4981,20652,19045,648.6824638961151,613.0,219.38004786353147,501.3747016706444,488.0,135.3777283111571,617.8604852005967,591.0,175.0027994845628,737.7111436950147,713.5,191.17693003481432,803.1793729086878,771.13,209.2268476575859,890.9692717328728,795.0,379.9613212904605
2025,138397,125711,117320,1347,5244,3872,654.3323471772067,620.0,219.34774560610373,497.80677290836655,494.0,125.67673051192781,627.6692481445627,588.0,213.39278863153848,729.2295277943814,701.0,191.59981823499626,786.7255218855213,745.0844999999999,310.9546342696841,873.4989892183288,767.5,377.06497934814206
mission_created_year,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
